r0,wout
254.60368775745042, 57.83202207255454
367.30352641430613, 95.1818696610826
480.0033650711623, 147.47165628501534
592.703203728018, 222.1713514620642
705.4030423848742, 300.6060313979724
818.1028810417299, 405.1856046458379
930.8027196985856, 517.2351474114148
1043.5025583554418, 651.6945987301042
1156.2023970122975, 801.0939890842055
1268.9022356691532, 965.4333184737152
1381.6020743260094, 1144.7125868986368
1494.3019129828651, 1331.4618248412626
1607.0017516397213, 1551.8259256135607
1702.6258571667502, 1725.5027169002024
1832.4014289534327, 2014.964035711273
1945.101267610289, 2268.942999313247
2057.801106267145, 2541.596886709478
2144.887345229261, 2745.7760535267516
2283.2007835808563, 3131.7244786081756
2395.900622237713, 3452.9331678694907
2508.6004608945686, 3777.8768418896616
2621.3002995514244, 4128.965409221797
2734.00013820828, 4491.258930830492
2846.699976865136, 4875.9623609923
2959.3998155219924, 5264.400775912964
3072.099654178848, 5682.719068904444
3184.799492835704, 6104.772346654776
3297.4993314925596, 6552.97051771708
3410.1991701494153, 7004.903673538236
3522.899008806271, 7475.5117531536525
3635.5988474631276, 7968.529741322185
3745.2250541566145, 8451.08977216593
3860.998524776839, 8988.18058048892
3973.698363433695, 9526.018385763684
4086.3982020905505, 10071.326160556151
4199.098040747407, 10635.30885914288
4311.797879404263, 11221.701466282726
4424.497718061119, 11811.829058181424
4537.197556717974, 12424.366558633237
4649.89739537483, 13051.84399812046
4762.597234031687, 13694.261376643091
4875.297072688542, 14351.618694201134
4962.383311650658, 14879.496540118957
