r0,w_pbl,q_s,w_p,q_gibbs,w_out
245.9747960121374,3675.771466181929,10640.578694008442,927.1321846332347,2892.8397130780304,32.75727235100985
337.1272443341152,3638.0244702522014,10630.168513041852,925.2638829086454,2892.9545198479145,63.03106138238054
428.2790849258365,3587.8072524406325,10616.322026919535,922.7736324189559,2893.1062308535784,103.28727723519097
519.440041471408,3525.0962478281454,10599.035150742324,919.6658728891515,2893.2940474218867,153.56724372846065
610.6064675892906,3449.861982379729,10578.302775780156,915.939549071159,2893.516971528268,213.896213904907
701.77350143743,3362.139188969132,10554.138085040666,911.6061152915834,2893.773601065404,284.28527219720127
792.9520821604463,3261.816447893153,10526.514605964405,906.6447342987856,2894.062746235238,364.76248930198915
884.1306628834634,3148.4945424401612,10495.327335636732,901.0376884773184,2894.3837933585196,455.6562114691123
975.3153209090476,3023.0341683016486,10460.818570305446,894.8508617896862,2894.732362620649,556.369278857096
1066.5072716977122,2884.95475433264,10422.862048624142,888.0375070910185,2895.107674100355,667.1952740314342
1157.70043794689,2734.3324744704023,10381.485309371012,880.6171876770285,2895.5071696196496,788.1362762377117
1248.8984660381225,2571.0966609165216,10336.676119242657,872.5714496223828,2895.928485556306,919.1891375730097
1340.1068255437187,2395.312425850946,10288.460108407457,863.9192981736785,2896.3687057072275,1060.3647668437677
1431.3121463980312,2207.0398534379783,10236.862040975802,854.674659470991,2896.8247539904137,1211.6587844459852
1522.5290141272214,2006.1913776163483,10181.866771346522,844.8219538541055,2897.293726358187,1373.0964378000735
1613.750135968209,1792.7446320840018,10123.47762428319,834.3497749602668,2897.7723608698843,1544.6544677570655
1704.973688730223,1565.7387161863371,10061.442153898914,823.2410802573369,2898.2591727101762,1727.2256048430104
1796.2087883671154,1327.146697525318,9996.310101059253,811.5699285733847,2898.7462610321836,1919.133016768221
1887.4469266552912,1076.144576070913,9927.867090488618,799.327574106637,2899.231651633874,2121.165720355635
1978.6862804039797,812.6174802391615,9856.093289875293,786.4848468906517,2899.711605181106,2333.3219073234454
2069.937788757804,536.5166337684268,9780.987497460817,773.0369525254195,2900.182064805864,2555.631176333251
2140.4515149847484,314.7286027469454,9720.724451288444,762.2715164057764,2900.536107945891,2734.3574628761603
2277.336475432069,-137.15203416208806,9598.129777562463,740.349151358716,2901.192118541193,3098.548639596952
2368.6031770423106,-455.7745763077469,9511.838809301757,724.9365276846124,2901.602382694807,3355.5206870461966
2459.869878652551,-785.0557759193753,9422.79182307962,709.0381723357202,2901.9813092726836,3621.208465262256
2551.1487348679275,-1126.4579277534644,9330.6066323101,692.5856667266144,2902.326185422886,3896.800594659922
2638.2847952116063,-1464.1797448837913,9239.554534553203,676.3404951701737,2902.6196347339906,4169.541725564486
2721.2770265421495,-1796.296932601834,9150.148098966109,660.3971619574997,2902.8622960052003,4437.885580431833
2804.2712633825395,-2138.5901827596517,9058.141391760655,643.9993489803278,2903.0651137147197,4714.587578680963
2887.2701797459076,-2491.1086101081414,8963.533251123506,627.1368406706205,2903.2242214033763,4999.655972790623
2970.272438625687,-2855.4216079517732,8865.91584383069,609.7526101520274,2903.3360206354128,5294.432048559883
3049.1309427704737,-3209.9715517929903,8771.066188393943,592.8773218668294,2903.3938811011285,5581.480839260308
3123.8421268294296,-3554.161642304796,8679.130614861417,576.5130041143765,2903.4023754983336,5860.213658762302
3198.554053669811,-3906.826877034031,8585.076395164207,559.7854639924658,2903.3627576543804,6145.968733003894
3269.1209816163137,-4247.158937312865,8494.450090631144,543.6853313338361,2903.278524712122,6421.90026264821
3335.5479244435555,-4574.6059580496185,8407.383012292286,528.2127661252161,2903.15517045209,6687.457022550483
3401.9723603834873,-4908.217702216643,8318.805447337381,512.4732202900402,2902.9871532763436,6958.110583376804
3468.3984675816255,-5248.221610173941,8228.663824453155,496.47622229785225,2902.772288543638,7234.12649936535
3534.8312598125885,-5595.163691589925,8136.820745734706,480.1642514978787,2902.5080016996976,7515.82069758144
3601.265723301757,-5948.102940086517,8043.532527420801,463.62716436556207,2902.1928476590288,7802.6115975487655
