r0,pm_w22
245.9747960121374, 905.9505841432651
337.1272443341152, 906.4200922303984
428.2790849258365, 906.8734103834925
519.440041471408, 907.5695775471727
610.6064675892906, 908.4114541172046
701.77350143743, 909.2695206212757
792.9520821604463, 910.435195872089
884.1306628834634, 911.6008711229024
975.3153209090476, 912.9284457141066
1066.5072716977122, 914.4502995137797
1157.7004379468901, 916.0045331815309
1248.8984660381223, 917.6882863215947
1340.1068255437187, 919.6472683403227
1431.3121463980312, 921.5253006888555
1522.5290141272214, 923.7109417841307
1613.750135968209, 926.0099124176793
1704.973688730223, 928.3736427873844
1796.2087883671154, 931.0449819038317
1887.4469266552912, 933.7972706904745
1978.68628040398, 936.5819393451955
2069.937788757804, 939.6904066806978
2140.4515149847484, 942.1242934312388
2277.336475432069, 946.9920669323208
2368.6031770423106, 950.5052826188
2459.869878652551, 954.0184983052794
2551.1487348679275, 957.8555126725403
2638.2847952116063, 961.6844320727815
2721.2770265421495, 965.4777336181369
2804.2712633825395, 969.3244619458211
2887.2701797459076, 973.2958527656062
2970.272438625687, 977.3562882226063
3049.1309427704737, 981.3830845944362
3123.8421268294296, 985.2812609347336
3198.554053669811, 989.1992249721898
3269.1209816163137, 993.0504055317348
3335.5479244435555, 996.9683695691909
3401.9723603834873, 1000.819550128736
3468.3984675816255, 1004.7152530068885
3534.8312598125885, 1008.7890451594708
3601.265723301757, 1012.9073596306605
