r0,qs
254.60368775745042, 11587.729972650273
367.30352641430613, 11565.320064097157
480.0033650711623, 11554.115109820601
592.703203728018, 11524.235231749779
705.4030423848742, 11494.355353678959
818.1028810417299, 11453.27052133158
930.8027196985856, 11415.920673743058
1043.5025583554418, 11367.365871877973
1156.2023970122975, 11315.076085254039
1268.9022356691532, 11259.051313871252
1381.6020743260094, 11191.821588211908
1494.3019129828651, 11124.59186255256
1607.0017516397213, 11049.892167375509
1719.701590296577, 10967.722502680754
1832.4014289534327, 10881.817853227147
1945.101267610289, 10792.178219014686
2057.801106267145, 10695.068615284521
2170.5009449240006, 10590.48904203665
2283.2007835808563, 10485.909468788781
2395.900622237713, 10373.859926023204
2508.6004608945686, 10258.075398498777
2621.3002995514244, 10134.820901456644
2734.00013820828, 10004.096434896805
2846.699976865136, 9865.901998819261
2959.3998155219924, 9735.177532259424
3072.099654178848, 9593.248111423029
3184.799492835704, 9447.58370582778
3297.4993314925596, 9294.449330714828
3410.1991701494153, 9137.579970843022
3522.899008806271, 8976.975626212363
3635.5988474631276, 8808.901312064001
3748.2986861199834, 8633.357028397932
3860.998524776839, 8461.547729490716
3973.698363433695, 8286.003445824648
4086.3982020905505, 8091.784238364318
4199.098040747407, 7908.769985180545
4311.797879404263, 7714.550777720211
4424.497718061119, 7516.596585501029
4537.197556717974, 7318.642393281847
4649.89739537483, 7113.218231544957
4762.597234031687, 6904.059085049219
4875.297072688542, 6687.429969035769
4962.383311650658, 6518.7331574275995
